Bit#|Name                  |??|?|MaxValue|NewGame |Chapter2|Chapter3|Chapter4|Chapter5|EndGame |Note
0040|HaveSharpClawDisguise |00|0|       1|       0|       0|       1|       1|       1|       1|
0043|                      |55|1|       1|       0|       0|       1|       1|       1|       1|
0048|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
004B|                      |00|0|       F|       0|       0|       E|       E|       E|       E|
004C|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
004D|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
004E|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
004F|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0050|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0051|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0052|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0053|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0054|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
0055|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
0056|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
0057|                      |54|1|       1|       0|       0|       1|       1|       1|       1|
005B|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
005C|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
005D|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
005F|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
0060|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
006D|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
006E|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
006F|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0070|                      |11|1|       1|       0|       1|       1|       1|       1|       1|
0071|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0072|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0078|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
007A|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
007B|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
007C|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0081|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0082|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0083|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0084|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0085|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0086|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0087|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0088|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0089|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
008A|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
008B|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
008D|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
008E|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
008F|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0090|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0091|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0094|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0097|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0098|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
009E|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00A1|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00A6|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
00A8|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
00A9|                      |00|0|       3|       0|       0|       0|       0|       0|       0|
00AA|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
00AC|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
00AD|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
00B4|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00BD|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00BF|                      |1A|1|       1|       0|       1|       1|       1|       1|       1|
00C1|NumTrickyFoods        |00|0|       F|       0|       9|       B|       B|       F|       F|Number of Tricky foods (GrubTub Fungus)
00C2|                      |00|0|       7|       0|       6|       6|       6|       6|       6|
00C3|                      |17|1|       1|       0|       1|       1|       1|       1|       1|
00C7|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00C9|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00CA|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00CB|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00CC|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
00CD|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00CE|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00D0|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00D1|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00D2|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00D3|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
00D4|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00D6|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00D7|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00D8|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00D9|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00DA|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00DB|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
00DC|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00DD|                      |14|1|       1|       0|       1|       1|       1|       1|       1|
00DE|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
00E1|                      |00|0|       F|       1|       3|       4|       5|       7|       8|
00E3|                      |00|0|       F|       1|       1|       1|       1|       1|       1|
00EC|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00EE|                      |00|0|       F|       1|       1|       2|       3|       3|       3|
00F1|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
00F2|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
00F3|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
00F4|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
00FE|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
00FF|                      |6F|1|       1|       0|       0|       0|       0|       0|       0|
0100|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0101|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0102|                      |23|1|       1|       0|       1|       1|       1|       1|       1|
0105|                      |00|0|       1|       0|       1|       1|       1|       1|       0|
0106|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0107|HaveGroundQuake       |40|1|       1|       0|       0|       1|       1|       1|       1|
0111|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0112|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0113|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0114|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0116|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0119|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
011A|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0120|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0121|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0122|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
0123|HaveFireSpellStone1   |35|1|       1|       0|       1|       0|       0|       0|       0|
0124|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
012F|                      |00|0|FFFFFFFF|       0|FFFFFFFE|FFFFFFFE|FFFFFFFE|FFFFFFFE|FFFFFFFE|
0130|                      |00|0|FFFFFFFF|       0|403FFFFF|FFFFFFFF|FFFFFFFF|FFFFFFFF|FFFFFFFF|
0131|                      |00|0|FFFFFFFF|       0|2F023440|3FFFFFFF|FFFFFFFF|FFFFFFFF|FFFFFFFF|
0132|                      |00|0|FFFFFFFF|       0|1C217438|1C217438|3FFFFFFF|FFFFFFFF|FFFFFFFF|
0133|                      |00|0|FFFFFFFF|       0|1F90CA14|1F90CA14|1F90CA14|3FFFFFFF|FFFFFFFF|
0134|                      |00|0|FFFFFFFF|       0|FBF01D0D|FBF01D0D|FBF01D2D|FBF01D2D|FBF7FFFF|
0135|                      |00|0|FFFFFFFF|       0|    3FFF|    3FFF|    3FFF|    3FFF|    3FFF|
0136|                      |00|0|FFFFFFFF|       0|       0|       0|       0|       0|       0|
0138|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0139|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
013A|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
013B|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
013C|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
013D|NumFireflies          |00|0|      1F|       0|       4|       6|       6|       6|       7|
013E|HaveFireflyLantern    |1D|1|       1|       0|       1|       1|       1|       1|       1|
0140|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0141|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0142|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0147|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0155|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0156|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0158|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0159|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
015A|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
015B|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
015C|                      |9E|1|       1|       0|       0|       0|       0|       0|       1|
015E|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0160|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0161|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0162|                      |5E|1|       1|       0|       0|       0|       1|       1|       1|
0163|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0164|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0165|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0166|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0167|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0168|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
016D|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
016E|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
016F|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0170|                      |00|0|       3|       0|       0|       0|       0|       0|       0|
0172|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0173|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0174|                      |B2|1|       1|       0|       0|       0|       0|       0|       1|
0177|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
0179|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
017A|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
017B|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
017C|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
017D|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
017E|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
017F|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0180|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0181|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0182|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0183|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0184|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0185|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0186|LoadTrickyBadge       |00|0|       1|       0|       0|       0|       0|       0|       1|
0187|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0188|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0189|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
018A|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
018B|StaffRelated018B      |0A|1|       1|       0|       1|       1|       1|       1|       1|
018C|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
018D|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
018E|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
018F|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
0190|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
0191|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
0192|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
0193|                      |36|1|       1|       0|       0|       1|       1|       1|       1|
0194|                      |00|0|       3|       0|       0|       0|       0|       0|       0|
0195|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
0196|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0197|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0198|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0199|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
019A|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
019C|                      |A4|1|       1|       0|       0|       0|       0|       0|       1|
019D|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
019F|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
01A0|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
01A2|BoughtSnowHornArtifact|85|1|       1|       0|       0|       0|       0|       1|       1|
01A3|                      |86|1|       1|       0|       0|       0|       0|       1|       1|
01A4|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
01A5|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
01A6|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01A9|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
01AA|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
01AB|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01AC|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
01AD|                      |0D|1|       1|       0|       1|       1|       1|       1|       1|
01AE|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
01AF|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
01B0|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01B1|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01B2|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
01B4|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
01B5|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
01B6|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
01B7|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
01B8|MapId01B8             |00|0|      FF|       0|      5F|      10|      15|      15|      35|destination map ID of some warp - dimhornplinth, clouddungeon, kraztest, kamdrag
01BB|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01BC|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
01BD|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01BE|MoneyGiveScarabs      |00|0|      FF|       0|      2C|       B|      13|      14|      22|Money (in Give Scarabs option)
01BF|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01C1|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
01C2|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
01C3|                      |4E|1|       1|       0|       0|       1|       1|       1|       1|
01C4|                      |49|1|       1|       0|       0|       1|       1|       1|       1|
01C5|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
01D7|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
01D9|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
01DA|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
01DB|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
01DC|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01E0|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01E1|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01E2|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
01E3|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01E4|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01E5|                      |2B|1|       1|       0|       1|       1|       1|       1|       1|
01E8|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01E9|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01EA|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
01EB|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
01EC|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
01EE|HaveDinosaurHorn      |2C|1|       1|       0|       1|       1|       1|       1|       1|
01EF|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01F0|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
01F1|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01F2|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
01F3|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01F4|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
01F5|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
01F8|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
01FA|                      |2D|1|       1|       0|       1|       1|       1|       1|       1|
01FB|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01FC|                      |47|1|       1|       0|       0|       0|       0|       0|       0|
01FD|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01FE|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
01FF|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0200|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0201|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0202|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0203|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0205|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0207|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0208|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0209|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0210|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0211|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0213|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
0215|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0216|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0217|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0218|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0219|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
021A|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0223|                      |2E|1|       1|       0|       1|       1|       1|       1|       1|
0224|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0225|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0228|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
022B|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
022C|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
022D|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
022F|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0230|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0233|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0235|                      |A7|1|       1|       0|       0|       0|       0|       0|       1|
0236|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0237|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0239|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
023B|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
023C|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
023E|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
023F|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0240|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0242|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0243|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0244|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0245|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0246|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0247|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0248|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0249|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
024A|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
024B|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
024E|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0254|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0255|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0256|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
025A|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
025B|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
025C|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
025D|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0264|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
0265|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
026C|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
026D|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
026E|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
026F|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0270|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0271|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0272|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0273|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0275|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0276|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0278|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
0279|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
027A|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
027B|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
027C|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
027D|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
027E|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
027F|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0280|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0281|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0282|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0283|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0284|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0285|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0286|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0287|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0288|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0289|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
028A|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
028B|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
028C|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0291|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
0292|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0295|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0296|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
0299|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
029A|                      |48|1|       1|       0|       0|       0|       0|       0|       0|
029B|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
02A5|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
02B0|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
02B2|                      |00|0|       1|       0|       0|       1|       1|       1|       1|
02B4|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
02B5|                      |66|1|       1|       0|       0|       0|       1|       1|       1|
02B6|                      |00|0|    FFFF|       0|       0|       0|     2E1|     2E1|     279|
02B7|                      |00|0|    FFFF|       0|       0|       0|    2C7A|    2C7A|    2B04|
02B9|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
02BB|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
02C0|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
02C2|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
02C3|                      |2F|1|       1|       0|       1|       1|       1|       1|       1|
02C6|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
02C7|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
02C9|                      |00|0|       1|       0|       0|       0|       0|       1|       1|
02CA|                      |00|0|       1|       0|       0|       0|       0|       0|       0|
02CB|                      |00|0|    FFFF|       0|       0|       0|       0|       0|       0|
02CC|                      |00|0|    FFFF|       0|       0|       0|       0|       0|       0|
02CD|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
02CE|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
02CF|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
02D0|                      |67|1|       1|       0|       0|       0|       1|       1|       1|
02D1|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
02D2|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
02D4|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
02D5|                      |00|0|       1|       0|       0|       0|       0|       0|       1|
02D7|                      |00|0|    FFFF|       0|       0|       0|       0|       0|       0|
02D8|                      |00|0|    FFFF|       0|       0|       0|       0|       0|       0|
02DA|                      |00|0|       1|       0|       1|       1|       1|       1|       1|
02DC|                      |00|0|       1|       0|       0|       0|       1|       1|       1|
