Bit#|T|??|?|MaxValue|Name|Note
00B9|0|00|0|00000001||
00BA|0|00|0|00000001||
00BB|0|00|0|00000001||
00BC|0|00|0|00000001||
00BD|2|00|0|00000001||
00BE|1|00|0|00000001||
00BF|2|1A|1|00000001||
00C0|0|00|0|00000001||
00C1|2|00|0|0000000F|NumTrickyFoods|Number of Tricky foods (GrubTub Fungus)
00C2|2|00|0|00000007||
00C3|2|17|1|00000001||
00C4|1|00|0|00000001||
00C5|1|00|0|00000001||
00C6|1|00|0|00000001||
00C7|2|00|0|00000001||
00C8|1|00|0|00000001||
00C9|2|00|0|00000001||
00CA|2|00|0|00000001||
00CB|2|00|0|00000001||
00CC|2|00|0|00000001||
00CD|2|00|0|00000001||
00CE|2|00|0|00000001||
00CF|0|00|0|00000001||
00D0|2|00|0|00000001||
00D1|2|00|0|00000001||
00D2|2|00|0|00000001||
00D3|2|00|0|00000001||
00D4|2|00|0|00000001||
00D5|1|00|0|0000000F||
00D6|2|00|0|00000001||
00D7|2|00|0|00000001||
00D8|2|00|0|00000001||
00D9|2|00|0|00000001||
00DA|2|00|0|00000001||
00DB|2|00|0|00000001||
00DC|2|00|0|00000001||
00DD|2|14|1|00000001||
00DE|2|00|0|00000001||
00DF|1|00|0|0000000F||
00E0|1|00|0|0000000F||
00E1|2|00|0|0000000F||
00E2|1|00|0|0000000F||
00E3|2|00|0|0000000F||
00E4|1|00|0|0000000F||
00E5|1|00|0|0000000F||
00E6|1|00|0|0000000F||
00E7|1|00|0|0000000F||
00E8|1|00|0|0000000F||
00E9|1|00|0|0000000F||
00EA|1|00|0|0000000F||
00EB|1|00|0|0000000F||
00EC|2|00|0|00000001||
00ED|1|00|0|0000000F||
00EE|2|00|0|0000000F||
00EF|1|00|0|0000000F||
00F0|1|00|0|0000000F||
00F1|2|00|0|00000001||
00F2|2|00|0|00000001||
00F3|2|00|0|00000001||
00F4|2|00|0|00000001||
00F5|1|00|0|00000001||
00F6|0|00|0|00000001||
00F7|0|00|0|00000001||
00F8|0|00|0|00000001||
00F9|0|00|0|00000001||
00FA|0|00|0|00000001||
00FB|0|00|0|00000001||
00FC|1|00|0|00000001||
00FD|0|00|0|00000001||
00FE|2|00|0|00000001||
00FF|2|6F|1|00000001||
0100|2|00|0|00000001||
0101|2|00|0|00000001||
0102|2|23|1|00000001||
0103|1|00|0|00000001||
0104|1|00|0|00000001||
0105|2|00|0|00000001||
0106|2|00|0|00000001||
0107|2|40|1|00000001|HaveGroundQuake|
0108|0|00|0|00000001||
0109|0|00|0|00000001||
010A|0|00|0|00000001||
010B|0|00|0|00000001||
010C|0|00|0|00000001||
010D|0|00|0|00000001||
010E|0|00|0|00000001||
010F|0|00|0|00000001||
0110|0|00|0|00000001||
0111|2|00|0|00000001||
0112|2|00|0|00000001||
0113|2|00|0|00000001||
0114|2|00|0|00000001||
0115|1|00|0|00000001||
0116|2|00|0|00000001||
0117|0|00|0|00000001||
0118|0|00|0|00000001||
0119|2|00|0|00000001||
011A|2|00|0|00000001||
011B|0|00|0|00000001||
011C|0|00|0|00000001||
011D|0|00|0|00000001||
011E|0|00|0|00000001||
011F|0|00|0|00000001||
0120|2|00|0|00000001||
0121|2|00|0|00000001||
0122|2|00|0|00000001||
0123|2|35|1|00000001|HaveFireSpellStone1|
0124|2|00|0|00000001||
0125|0|00|0|00000001||
0126|0|00|0|00000001||
0127|0|00|0|00000001||
0128|0|00|0|00000001||
0129|0|00|0|00000001||
012A|0|00|0|00000001||
012B|0|00|0|00000001||
012C|0|00|0|00000001||
012D|0|00|0|00000001||
012E|0|00|0|00000001||
012F|2|00|0|FFFFFFFF||
0130|2|00|0|FFFFFFFF||
0131|2|00|0|FFFFFFFF||
0132|2|00|0|FFFFFFFF||
0133|2|00|0|FFFFFFFF||
0134|2|00|0|FFFFFFFF||
0135|2|00|0|FFFFFFFF||
0136|2|00|0|FFFFFFFF||
0137|0|00|0|00000001||
0138|2|00|0|00000001||
0139|2|00|0|00000001||
013A|2|00|0|00000001||
013B|2|00|0|00000001||
013C|2|00|0|00000001||
013D|2|00|0|0000001F|NumFireflies|
013E|2|1D|1|00000001|HaveFireflyLantern|
013F|1|83|1|00000001||
0140|2|00|0|00000001||
0141|2|00|0|00000001||
0142|2|00|0|00000001||
0143|0|00|0|00000001||
0144|1|00|0|0000000F||
0145|3|00|0|FFFFFFFF||
0146|0|00|0|00000001||
0147|2|00|0|00000001||
0148|0|00|0|00000001||
0149|0|00|0|00000001||
014A|0|00|0|00000001||
014B|0|00|0|00000001||
014C|0|00|0|00000001||
014D|0|00|0|00000001||
014E|0|00|0|00000001||
014F|0|00|0|00000001||
0150|0|00|0|00000001||
0151|0|00|0|00000001||
0152|0|00|0|00000001||
0153|0|00|0|00000001||
0154|0|00|0|00000001||
0155|2|00|0|00000001||
0156|2|00|0|00000001||
0157|0|00|0|00000001||
0158|2|00|0|00000001||
0159|2|00|0|00000001||
015A|2|00|0|00000001||
015B|2|00|0|00000001||
015C|2|9E|1|00000001||
015D|0|00|0|00000001||
015E|2|00|0|00000001||
015F|0|00|0|00000001||
0160|2|00|0|00000001||
0161|2|00|0|00000001||
0162|2|5E|1|00000001||
0163|2|00|0|00000001||
0164|2|00|0|00000001||
0165|2|00|0|00000001||
0166|2|00|0|00000001||
0167|2|00|0|00000001||
0168|2|00|0|00000001||
0169|3|00|0|00000001||
016A|0|00|0|00000001||
016B|0|00|0|00000001||
016C|0|00|0|00000001||
016D|2|00|0|00000001||
016E|2|00|0|00000001||
016F|2|00|0|00000001||
0170|2|00|0|00000003||
0171|0|00|0|00000001||
0172|2|00|0|00000001||
0173|2|00|0|00000001||
0174|2|B2|1|00000001||
0175|0|00|0|00000001||
0176|0|00|0|00000001||
0177|2|00|0|00000001||
0178|0|00|0|00000001||
0179|2|00|0|00000001||
017A|2|00|0|00000001||
017B|2|00|0|00000001||
017C|2|00|0|00000001||
017D|2|00|0|00000001||
017E|2|00|0|00000001||
017F|2|00|0|00000001||
0180|2|00|0|00000001||
0181|2|00|0|00000001||
0182|2|00|0|00000001||
0183|2|00|0|00000001||
0184|2|00|0|00000001||
0185|2|00|0|00000001||
0186|2|00|0|00000001|LoadTrickyBadge|
0187|2|00|0|00000001||
0188|2|00|0|00000001||
0189|2|00|0|00000001||
018A|2|00|0|00000001||
018B|2|0A|1|00000001|StaffRelated018B|
018C|2|00|0|00000001||
018D|2|00|0|00000001||
018E|2|00|0|00000001||
018F|2|00|0|00000001||
0190|2|00|0|00000001||
0191|2|00|0|00000001||
0192|2|00|0|00000001||
0193|2|36|1|00000001||
0194|2|00|0|00000003||
0195|2|00|0|00000001||
0196|2|00|0|00000001||
0197|2|00|0|00000001||
0198|2|00|0|00000001||
0199|2|00|0|00000001||
019A|2|00|0|00000001||
019B|0|00|0|00000001||
019C|2|A4|1|00000001||
019D|2|00|0|00000001||
019E|3|00|0|00000001||
019F|2|00|0|00000001||
01A0|2|00|0|00000001||
01A1|1|00|0|00000001||
01A2|2|85|1|00000001|BoughtSnowHornArtifact|
01A3|2|86|1|00000001||
01A4|2|00|0|00000001||
01A5|2|00|0|00000001||
01A6|2|00|0|00000001||
01A7|0|00|0|00000001||
01A8|0|00|0|00000001||
01A9|2|00|0|00000001||
01AA|2|00|0|00000001||
01AB|2|00|0|00000001||
01AC|2|00|0|00000001||
01AD|2|0D|1|00000001||
01AE|2|00|0|00000001||
01AF|2|00|0|00000001||
01B0|2|00|0|00000001||
01B1|2|00|0|00000001||
01B2|2|00|0|00000001||
01B3|0|00|0|00000001||
01B4|2|00|0|00000001||
01B5|2|00|0|00000001||
01B6|2|00|0|00000001||
01B7|2|00|0|00000001||
01B8|2|00|0|000000FF|MapId01B8|destination map ID of some warp - dimhornplinth, clouddungeon, kraztest, kamdrag
01B9|0|00|0|00000001||
01BA|0|00|0|00000001||
01BB|2|00|0|00000001||
01BC|2|00|0|00000001||
01BD|2|00|0|00000001||
01BE|2|00|0|000000FF|MoneyGiveScarabs|Money (in Give Scarabs option)
01BF|2|00|0|00000001||
01C0|1|00|0|00000001||
01C1|2|00|0|00000001||
01C2|2|00|0|00000001||
01C3|2|4E|1|00000001||
01C4|2|49|1|00000001||
01C5|2|00|0|00000001||
01C6|0|00|0|00000001||
01C7|0|00|0|00000001||
01C8|0|00|0|00000001||
01C9|0|00|0|00000001||
01CA|0|00|0|00000001||
01CB|0|00|0|00000001||
01CC|0|00|0|00000001||
01CD|0|00|0|00000001||
01CE|0|00|0|00000001||
01CF|0|00|0|00000001||
01D0|3|00|0|00000001||
01D1|1|00|0|00000001||
01D2|0|00|0|00000001||
01D3|0|00|0|00000001||
01D4|0|00|0|00000001||
01D5|0|00|0|00000001||
01D6|3|00|0|00000001||
01D7|2|00|0|00000001||
01D8|0|00|0|00000001||
01D9|2|00|0|00000001||
01DA|2|00|0|00000001||
01DB|2|00|0|00000001||
01DC|2|00|0|00000001||
01DD|1|00|0|00000001||
01DE|0|00|0|00000001||
01DF|1|30|1|00000001||
01E0|2|00|0|00000001||
01E1|2|00|0|00000001||
01E2|2|00|0|00000001||
01E3|2|00|0|00000001||
01E4|2|00|0|00000001||
01E5|2|2B|1|00000001||
01E6|1|00|0|00000001||
01E7|0|00|0|00000001||
01E8|2|00|0|00000001||
01E9|2|00|0|00000001||
01EA|2|00|0|00000001||
01EB|2|00|0|00000001||
01EC|2|00|0|00000001||
01ED|3|00|0|00000001||
01EE|2|2C|1|00000001|HaveDinosaurHorn|
01EF|2|00|0|00000001||
01F0|2|00|0|00000001||
01F1|2|00|0|00000001||
01F2|2|00|0|00000001||
01F3|2|00|0|00000001||
01F4|2|00|0|00000001||
01F5|2|00|0|00000001||
01F6|0|00|0|00000001||
01F7|0|00|0|00000001||
01F8|2|00|0|00000001||
01F9|1|00|0|00000001||
01FA|2|2D|1|00000001||
01FB|2|00|0|00000001||
01FC|2|47|1|00000001||
01FD|2|00|0|00000001||
01FE|2|00|0|00000001||
01FF|2|00|0|00000001||
0200|2|00|0|00000001||
0201|2|00|0|00000001||
0202|2|00|0|00000001||
0203|2|00|0|00000001||
0204|1|00|0|00000001||
0205|2|00|0|00000001||
0206|1|00|0|00000001||
0207|2|00|0|00000001||
0208|2|00|0|00000001||
0209|2|00|0|00000001||
020A|1|00|0|00000001||
020B|0|00|0|00000001||
020C|0|00|0|0000000F||
020D|0|00|0|00000001||
020E|0|00|0|00000001||
020F|0|00|0|00000001||
0210|2|00|0|00000001||
0211|2|00|0|00000001||
0212|1|50|1|00000001||
0213|2|00|0|00000001||
0214|1|00|0|00000001||
0215|2|00|0|00000001||
0216|2|00|0|00000001||
0217|2|00|0|00000001||
0218|2|00|0|00000001||
0219|2|00|0|00000001||
021A|2|00|0|00000001||
021B|1|00|0|00000001||
021C|1|00|0|00000001||
021D|1|00|0|00000001||
021E|1|00|0|00000001||
021F|1|00|0|00000001||
0220|0|00|0|00000001||
0221|1|00|0|00000001||
0222|1|00|0|00000001||
0223|2|2E|1|00000001||
0224|2|00|0|00000001||
0225|2|00|0|00000001||
0226|1|00|0|00000001||
0227|0|00|0|00000001||
0228|2|00|0|00000001||
0229|1|00|0|0000000F||
022A|0|00|0|00000001||
022B|2|00|0|00000001||
022C|2|00|0|00000001||
022D|2|00|0|00000001||
022E|0|00|0|00000001||
022F|2|00|0|00000001||
0230|2|00|0|00000001||
0231|0|00|0|00000001||
0232|0|00|0|00000001||
0233|2|00|0|00000001||
0234|0|00|0|00000001||
0235|2|A7|1|00000001||
0236|2|00|0|00000001||
0237|2|00|0|00000001||
0238|0|00|0|00000001||
0239|2|00|0|00000001||
023A|1|00|0|00000001||
023B|2|00|0|00000001||
023C|2|00|0|00000001||
023D|1|00|0|00000001||
023E|2|00|0|00000001||
023F|2|00|0|00000001||
0240|2|00|0|00000001||
0241|0|00|0|00000001||
0242|2|00|0|00000001||
0243|2|00|0|00000001||
0244|2|00|0|00000001||
0245|2|00|0|00000001||
0246|2|00|0|00000001||
0247|2|00|0|00000001||
0248|2|00|0|00000001||
0249|2|00|0|00000001||
024A|2|00|0|00000001||
024B|2|00|0|00000001||
024C|0|00|0|00000001||
024D|0|00|0|00000001||
024E|2|00|0|00000001||
024F|1|00|0|00000001||
0250|1|00|0|00000001||
0251|1|00|0|00000001||
0252|1|00|0|00000001||
0253|1|00|0|00000001||
0254|2|00|0|00000001||
0255|2|00|0|00000001||
0256|2|00|0|00000001||
0257|1|00|0|00000001||
0258|1|00|0|00000001||
0259|1|00|0|00000001||
025A|2|00|0|00000001||
025B|2|00|0|00000001||
025C|2|00|0|00000001||
025D|2|00|0|00000001||
025E|0|00|0|00000001||
025F|1|00|0|00000001||
0260|0|00|0|00000001||
0261|0|00|0|00000001||
0262|0|00|0|00000001||
0263|0|00|0|00000001||
0264|2|00|0|00000001||
0265|2|00|0|00000001||
0266|0|00|0|00000001||
0267|0|00|0|00000001||
0268|0|00|0|00000001||
0269|0|00|0|00000001||
026A|0|00|0|00000001||
026B|0|00|0|00000001||
026C|2|00|0|00000001||
026D|2|00|0|00000001||
026E|2|00|0|00000001||
026F|2|00|0|00000001||
0270|2|00|0|00000001||
0271|2|00|0|00000001||
0272|2|00|0|00000001||
0273|2|00|0|00000001||
0274|1|00|0|00000001||
0275|2|00|0|00000001||
0276|2|00|0|00000001||
0277|1|00|0|00000001||
0278|2|00|0|00000001||
0279|2|00|0|00000001||
027A|2|00|0|00000001||
027B|2|00|0|00000001||
027C|2|00|0|00000001||
027D|2|00|0|00000001||
027E|2|00|0|00000001||
027F|2|00|0|00000001||
0280|2|00|0|00000001||
0281|2|00|0|00000001||
0282|2|00|0|00000001||
0283|2|00|0|00000001||
0284|2|00|0|00000001||
0285|2|00|0|00000001||
0286|2|00|0|00000001||
0287|2|00|0|00000001||
0288|2|00|0|00000001||
0289|2|00|0|00000001||
028A|2|00|0|00000001||
028B|2|00|0|00000001||
028C|2|00|0|00000001||
028D|0|00|0|00000001||
028E|0|00|0|00000001||
028F|0|00|0|00000001||
0290|1|00|0|00000001||
0291|2|00|0|00000001||
0292|2|00|0|00000001||
0293|0|00|0|00000001||
0294|0|00|0|00000001||
0295|2|00|0|00000001||
0296|2|00|0|00000001||
0297|1|00|0|00000001||
0298|1|00|0|00000001||
0299|2|00|0|00000001||
029A|2|48|1|00000001||
029B|2|00|0|00000001||
029C|0|00|0|00000001||
029D|0|00|0|00000001||
029E|0|00|0|00000001||
029F|0|00|0|00000001||
02A0|0|00|0|00000001||
02A1|0|00|0|00000001||
02A2|0|00|0|00000001||
02A3|0|00|0|00000001||
02A4|0|00|0|00000001||
02A5|2|00|0|00000001||
02A6|1|00|0|00000001||
02A7|1|00|0|00000001||
02A8|1|00|0|00000001||
02A9|1|00|0|00000001||
02AA|0|00|0|00000001||
02AB|0|00|0|00000001||
02AC|0|00|0|00000001||
02AD|0|00|0|00000001||
02AE|0|00|0|00000001||
02AF|0|00|0|00000001||
02B0|2|00|0|00000001||
02B1|1|00|0|00000001||
02B2|2|00|0|00000001||
02B3|0|00|0|00000001||
02B4|2|00|0|00000001||
02B5|2|66|1|00000001||
02B6|2|00|0|0000FFFF||
02B7|2|00|0|0000FFFF||
02B8|0|00|0|00000001||
02B9|2|00|0|00000001||
02BA|3|00|0|000000FF|Envfx02BA|related to player envfx
02BB|2|00|0|00000001||
02BC|0|00|0|00000001||
02BD|0|00|0|00000001||
02BE|1|00|0|00000001||
02BF|0|00|0|00000001||
02C0|2|00|0|00000001||
02C1|0|00|0|00000001||
02C2|2|00|0|00000001||
02C3|2|2F|1|00000001||
02C4|0|00|0|00000001||
02C5|1|00|0|00000001||
02C6|2|00|0|00000001||
02C7|2|00|0|00000001||
02C8|0|00|0|00000001||
02C9|2|00|0|00000001||
02CA|2|00|0|00000001||
02CB|2|00|0|0000FFFF||
02CC|2|00|0|0000FFFF||
02CD|2|00|0|00000001||
02CE|2|00|0|00000001||
02CF|2|00|0|00000001||
02D0|2|67|1|00000001||
02D1|2|00|0|00000001||
02D2|2|00|0|00000001||
02D3|1|00|0|00000001||
02D4|2|00|0|00000001||
02D5|2|00|0|00000001||
02D6|1|00|0|00000001||
02D7|2|00|0|0000FFFF||
02D8|2|00|0|0000FFFF||
02D9|0|00|0|00000001||
02DA|2|00|0|00000001||
02DB|0|00|0|00000001||
02DC|2|00|0|00000001||
02DD|0|00|0|00000001||
02DE|1|00|0|00000001||
02DF|1|00|0|00000001||
02E0|1|00|0|00000001||
02E1|2|00|0|00000001||
02E2|0|00|0|00000001||
02E3|0|00|0|00000001||
02E4|0|00|0|00000001||
02E5|0|00|0|00000001||
02E6|2|00|0|00000001||
02E7|2|68|1|00000001||
02E8|2|5C|1|00000001|HaveWaterSpellStone1|
02E9|0|00|0|00000001||
02EA|1|00|0|00000001||
02EB|2|00|0|00000001||
02EC|2|00|0|00000001||
02ED|1|00|0|00000001||
02EE|0|00|0|00000001||
02EF|2|00|0|00000001||
02F0|1|00|0|00000001||
02F1|1|00|0|00000001||
02F2|1|00|0|00000001||
02F3|1|00|0|00000001||
02F4|1|00|0|00000001||
02F5|0|00|0|00000001||
02F6|0|00|0|00000001||
02F7|0|00|0|00000001||
02F8|2|00|0|00000001||
02F9|1|00|0|00000001||
02FA|0|00|0|00000001||
02FB|1|00|0|00000001||
02FC|1|00|0|00000001||
02FD|1|00|0|00000001||
02FE|1|00|0|00000001||
02FF|1|00|0|00000001||
0300|1|00|0|00000001||
0301|1|00|0|00000001||
0302|1|00|0|00000001||
0303|2|00|0|00000001||
0304|2|00|0|00000001||
0305|2|00|0|00000001||
0306|1|00|0|00000001||
0307|1|00|0|00000001||
0308|1|00|0|00000001||
0309|1|00|0|00000001||
030A|2|00|0|00000001||
030B|1|00|0|00000001||
030C|1|00|0|00000001||
030D|1|00|0|00000001||
030E|1|00|0|00000001||
030F|1|00|0|00000001||
0310|1|00|0|00000001||
0311|0|00|0|00000001||
0312|0|00|0|00000001||
0313|0|00|0|00000001||
0314|1|00|0|00000001||
0315|1|00|0|00000001||
0316|2|08|1|00000001||
0317|1|00|0|00000001||
0318|1|00|0|00000001||
0319|0|00|0|00000001||
031A|0|00|0|00000001||
031B|0|00|0|00000001||
031C|1|00|0|00000001||
031D|0|00|0|00000001||
031E|0|00|0|00000001||
031F|1|00|0|00000001||
0320|1|00|0|00000001||
0321|1|00|0|00000001||
0322|0|00|0|00000001||
0323|1|00|0|00000001||
0324|1|00|0|00000001||
0325|1|00|0|00000001||
0326|1|00|0|00000001||
0327|1|00|0|00000001||
0328|1|00|0|00000001||
0329|1|00|0|00000001||
032A|1|00|0|00000001||
032B|1|00|0|00000001||
032C|1|00|0|00000001||
032D|1|00|0|00000001||
032E|0|00|0|00000001||
032F|1|00|0|00000001||
0330|1|00|0|00000001||
0331|1|00|0|00000001||
0332|1|00|0|00000001||
0333|1|00|0|00000001||
0334|1|00|0|00000001||
0335|2|00|0|00000001||
0336|1|00|0|00000001||
0337|1|00|0|00000001||
0338|2|00|0|00000001||
0339|1|00|0|00000001||
033A|1|00|0|00000001||
033B|0|00|0|00000001||
033C|0|00|0|00000001||
033D|1|00|0|00000001||
033E|1|00|0|00000001||
033F|1|00|0|00000001||
0340|1|00|0|00000001||
0341|2|00|0|00000001||
0342|0|00|0|00000001||
0343|0|00|0|00000001||
0344|0|00|0|00000001||
0345|0|00|0|00000001||
0346|0|00|0|00000001||
0347|1|00|0|00000001||
0348|2|00|0|00000001||
0349|1|00|0|0000000F||
034A|2|00|0|00000001||
034B|1|00|0|00000001||
034C|1|00|0|00000001||
034D|1|00|0|00000001||
034E|1|00|0|00000001||
034F|1|00|0|00000001||
0350|1|00|0|00000001||
0351|2|00|0|00000001||
0352|1|00|0|00000001||
0353|2|00|0|00000001||
0354|2|00|0|00000001||
0355|2|00|0|00000001||
0356|1|00|0|00000001||
0357|1|00|0|00000001||
0358|1|00|0|00000001||
0359|2|00|0|00000001||
035A|1|00|0|00000001||
035B|1|00|0|00000001||
035C|1|00|0|00000001||
035D|1|00|0|00000001||
035E|1|00|0|00000001||
035F|2|00|0|00000001||
0360|2|00|0|00000001||
0361|1|00|0|00000001||
0362|1|00|0|00000001||
0363|0|00|0|00000001||
0364|0|00|0|00000001||
0365|0|00|0|00000001||
0366|1|00|0|00000001||
0367|0|00|0|00000001||
0368|0|00|0|00000001||
0369|0|00|0|00000001||
036A|3|00|0|FFFFFFFF||
036B|0|00|0|00000001||
036C|0|00|0|00000001||
036D|0|00|0|00000001||
036E|2|00|0|00000001||
036F|2|00|0|00000001||
0370|0|00|0|00000001||
0371|2|00|0|00000001||
0372|3|00|0|00000001||
0373|3|00|0|FFFFFFFF||
0374|2|00|0|00000001||
0375|2|00|0|00000001||
0376|2|00|0|00000001||
0377|2|00|0|00000001||
0378|1|00|0|00000001||
0379|2|00|0|00000001||
037A|2|12|1|00000001||
037B|2|00|0|00000001||
037C|2|00|0|00000001||
037D|2|00|0|00000001||
037E|2|00|0|00000001||
037F|2|00|0|00000001||
0380|2|00|0|00000001||
0381|2|00|0|00000001||
0382|2|00|0|00000001||
0383|2|00|0|00000001||
0384|2|00|0|00000001||
0385|2|00|0|00000001||
0386|2|00|0|00000001||
0387|2|00|0|00000001||
0388|1|00|0|00000001||
0389|2|00|0|00000001||
038A|2|00|0|00000001||
038B|2|00|0|00000001||
038C|2|00|0|00000001||
038D|1|00|0|00000001||
038E|1|00|0|00000001||
038F|1|00|0|00000001||
0390|3|00|0|00000001||
0391|0|00|0|00000001||
0392|2|00|0|00000001||
0393|3|00|0|00000001||
0394|3|00|0|00000001||
0395|0|00|0|00000001||
0396|1|00|0|00000001||
0397|3|00|0|FFFFFFFF||
0398|2|00|0|00000001||
0399|1|00|0|00000001||
039A|1|00|0|00000001||
039B|1|00|0|00000001||
039C|1|00|0|00000001||
039D|1|00|0|00000001||
039E|1|00|0|00000001||
039F|0|00|0|00000001||
03A0|3|00|0|00000001||
03A1|3|00|0|00000001||
03A2|1|00|0|00000001||
03A3|1|00|0|00000001||
03A4|1|00|0|00000001||
03A5|1|00|0|00000001||
03A6|1|00|0|00000001||
03A7|1|00|0|00000001||
