204 2171282080
objPtr = 816B22A0 nObjs = 204
Obj|Address |Name       |ID  |Def |Flg|Slt|Sequence|XPos     |YPos     |ZPos      
 31|812F9CA0|HitAnimator|004B|024F|00 |50 |810BF7D0|+11060.41|   -12.69| +1175.19
 32|812F9DC0|HitAnimator|004B|024F|00 |50 |810BF7F0|+10947.68|    -5.33| +1486.30
 33|81306AC0|baddieInter|0030|0787|00 |50 |810C0724|+12651.84|  +719.00| +2499.44
 34|813069A0|baddieInter|0030|0787|00 |50 |810C0700|+12527.23|  +719.00| +2644.67
 35|81306880|baddieInter|0030|0787|00 |50 |810C06DC|+12393.23|  +719.00| +2742.01
 36|81306760|baddieInter|0030|0787|00 |50 |810C06B8|+12170.78|  +719.00| +2802.26
 37|812FC6E0|texscroll2 |0021|0014|00 |50 |810BF9F8|+11156.19|   +34.97| +2240.90
 38|81306640|baddieInter|0030|0787|00 |50 |810C0694|+11964.14|  +719.00| +2762.94
 39|81306520|baddieInter|0030|0787|00 |50 |810C0670|+11786.47|  +719.00| +2651.34
 40|81306400|baddieInter|0030|0787|00 |50 |810C064C|+11651.03|  +719.00| +2454.30
 41|813062E0|baddieInter|0030|0787|00 |50 |810C0628|+11608.49|  +719.00| +2230.36
 42|813061C0|baddieInter|0030|0787|00 |50 |810C0604|+11673.93|  +719.00| +1961.48
 43|813060A0|baddieInter|0030|0787|00 |50 |810C05E0|+11820.18|  +719.00| +1810.37
 44|812FF080|DustMoteSou|007E|0802|00 |50 |810BFB3C|+12160.23| +1095.86| +2237.35
 45|812FF1A0|texscroll2 |0021|0014|00 |50 |810BFB6C|+12191.89| +1031.54| +2190.01
 46|81305F80|baddieInter|0030|0787|00 |50 |810C05BC|+11971.68|  +719.00| +1710.29
 47|812FF440|TrigCyl    |0016|0230|00 |28 |810BFC18|+12234.70|  +301.67| +1990.04
 48|81305E60|baddieInter|0030|0787|00 |50 |810C0598|+12212.45|  +719.00| +1683.19
 49|812FF600|TrigCyl    |0016|0230|00 |28 |810BFC8C|+12249.08|  +771.15| +2481.85
 50|81305D40|baddieInter|0030|0787|00 |50 |810C0574|+12467.21|  +719.00| +1779.15
 51|812FF7C0|TrigCyl    |0016|0230|00 |28 |810BFD00|+11957.83|  +540.02| +2403.02
 52|81305C20|baddieInter|0030|0787|00 |50 |810C0550|+12611.79|  +719.00| +1917.48
 53|81305B00|baddieInter|0030|0787|00 |50 |810C052C|+11690.69|  +484.00| +1941.34
 54|813059E0|baddieInter|0030|0787|00 |50 |810C0508|+11808.80|  +484.00| +1795.95
 55|813058C0|baddieInter|0030|0787|00 |50 |810C04E4|+12047.80|  +484.00| +1697.15
 56|813057A0|baddieInter|0030|0787|00 |50 |810C04C0|+12238.33|  +484.00| +1694.98
 57|81305680|baddieInter|0030|0787|00 |50 |810C049C|+12492.60|  +484.00| +1791.64
 58|81305560|baddieInter|0030|0787|00 |50 |810C0478|+12597.80|  +484.00| +1900.48
 59|81305440|baddieInter|0030|0787|00 |50 |810C0454|+12686.42|  +484.00| +2055.71
 60|81305320|baddieInter|0030|0787|00 |50 |810C0430|+12716.34|  +484.00| +2215.93
 61|81305200|baddieInter|0030|0787|00 |50 |810C040C|+12697.64|  +484.00| +2380.57
 62|813050E0|baddieInter|0030|0787|00 |50 |810C03E8|+12632.59|  +484.00| +2546.99
 63|81304FC0|baddieInter|0030|0787|00 |50 |810C03C4|+12498.56|  +484.00| +2674.54
 64|81304EA0|baddieInter|0030|0787|00 |50 |810C03A0|+12372.55|  +484.00| +2740.03
 65|81304D80|baddieInter|0030|0787|00 |50 |810C037C|+12200.59|  +484.00| +2792.23
 66|81304C60|baddieInter|0030|0787|00 |50 |810C0358|+12055.38|  +484.00| +2789.55
 67|81304B40|baddieInter|0030|0787|00 |50 |810C0334|+11841.12|  +484.00| +2686.72
 68|81304A20|baddieInter|0030|0787|00 |50 |810C0310|+11745.02|  +484.00| +2544.23
 69|81303160|baddieInter|0030|0787|00 |50 |810BFFF8|+12643.54|   +13.00| +1972.60
 70|81303280|baddieInter|0030|0787|00 |50 |810C001C|+12658.77|   +13.00| +2195.52
 71|813033A0|baddieInter|0030|0787|00 |50 |810C0040|+12616.13|   +13.00| +2559.88
 72|813034C0|baddieInter|0030|0787|00 |50 |810C0064|+12296.57|   +13.00| +2778.88
 73|813035E0|baddieInter|0030|0787|00 |50 |810C0088|+11901.72|   +13.00| +2727.45
 74|81303700|baddieInter|0030|0787|00 |50 |810C00AC|+11660.23|   +13.00| +2496.25
 75|81303820|baddieInter|0030|0787|00 |50 |810C00D0|+11621.42|   +13.00| +2113.62
 76|81303940|baddieInter|0030|0787|00 |50 |810C00F4|+11737.35|   +13.00| +1872.26
 77|81303A60|baddieInter|0030|0787|00 |50 |810C0118|+12037.87|   +13.00| +1708.41
 78|81303B80|baddieInter|0030|0787|00 |50 |810C013C|+12385.55|   +13.00| +1738.58
 79|81303CA0|baddieInter|0030|0787|00 |50 |810C0160|+12142.61|  +249.00| +2796.14
 80|81303DC0|baddieInter|0030|0787|00 |50 |810C0184|+12442.95|  +249.00| +2712.62
 81|81303EE0|baddieInter|0030|0787|00 |50 |810C01A8|+12677.76|  +249.00| +2456.10
 82|81304000|baddieInter|0030|0787|00 |50 |810C01CC|+12705.01|  +249.00| +2265.70
 83|81304120|baddieInter|0030|0787|00 |50 |810C01F0|+12578.27|  +249.00| +1877.78
 84|81304240|baddieInter|0030|0787|00 |50 |810C0214|+12270.32|  +249.00| +1716.87
 85|81304360|baddieInter|0030|0787|00 |50 |810C0238|+11897.89|  +249.00| +1742.30
 86|81304480|baddieInter|0030|0787|00 |50 |810C025C|+11652.34|  +249.00| +1984.83
 87|813045A0|baddieInter|0030|0787|00 |50 |810C0280|+11664.58|  +249.00| +2495.25
 88|813046C0|baddieInter|0030|0787|00 |50 |810C02A4|+11893.09|  +249.00| +2717.16
 89|813047E0|baddieInter|0030|0787|00 |50 |810C02C8|+11592.23|  +484.00| +2244.16
 90|81304900|baddieInter|0030|0787|00 |50 |810C02EC|+11633.66|  +484.00| +2430.03
 91|80F57F00|sharpclawGr|001C|0011|00 |50 |810BFFC0|+12672.07|  +719.00| +2009.52
 92|80F633E0|sharpclawGr|001C|0011|00 |50 |810BFF88|+11761.44|  +484.00| +1856.42
 93|80F6E8C0|sharpclawGr|001C|0011|00 |50 |810BFF50|+12055.85|  +249.70| +2786.78
 94|80F79DA0|sharpclawGr|001C|0011|00 |50 |810BFF18|+12580.26|   +13.00| +1888.32
 95|811A1DE0|MagicPlant |0065|02C0|00 |50 |810BFEF8|+12682.55|  +249.00| +2547.99
 96|811A11C0|MagicPlant |0065|02C0|00 |50 |810BFED8|+11736.78|   +13.00| +2152.12
 97|811A05A0|MagicPlant |0065|02C0|00 |50 |810BFEB8|+12250.69|  +719.50| +2654.95
 98|813019C0|LargeCrate |0030|049F|00 |50 |810BFE94|+12100.72|   +13.00| +1652.63
 99|81301600|LargeCrate |0030|049F|00 |50 |810BFE70|+11548.13|  +249.00| +2298.29
100|81301240|LargeCrate |0030|049F|00 |50 |810BFE4C|+11842.68|  +484.00| +2543.47
101|81300E80|LargeCrate |0030|049F|00 |50 |810BFE28|+12279.01|  +484.00| +1664.57
102|81300AC0|LargeCrate |0030|049F|00 |50 |810BFE04|+11603.49|  +719.00| +2089.09
103|81300700|LargeCrate |0030|049F|00 |50 |810BFDE0|+12393.84|  +484.00| +2883.38
104|81300340|WndLiftS   |0030|0835|00 |50 |810BFDBC|+12250.36|  +589.00| +2484.07
105|81300040|WndLiftS   |0030|0835|00 |50 |810BFD98|+11959.39|  +354.00| +2403.50
106|812FFD40|WndLiftS   |0030|0835|00 |50 |810BFD74|+12234.06|  +118.00| +1990.02
107|812FFA40|WndLiftS   |0030|0835|00 |50 |810BFD50|+12160.31|   +13.00| +2240.19
108|81194AE0|CFTreasWind|0030|00BA|00 |50 |810BFCDC|+11957.97|  +349.62| +2402.36
109|81194500|CFTreasWind|0030|00BA|00 |50 |810BFC68|+12250.11|  +588.87| +2484.34
110|81193F20|CFTreasWind|0030|00BA|00 |50 |810BFBF4|+12234.60|  +118.00| +1989.63
111|812FE940|CmbSrcTWall|007E|0853|00 |50 |810BFB0C|+12113.06|  +542.67| +1623.25
112|812FE2A0|CmbSrcTWall|007E|0853|00 |50 |810BFADC|+12206.40|  +542.25| +1622.06
113|812FDC00|CmbSrcTWall|007E|0853|00 |50 |810BFAAC|+12109.38|  +777.86| +2861.79
114|812FD560|CmbSrcTWall|007E|0853|00 |50 |810BFA7C|+12211.82|  +776.42| +2862.83
115|812FCEC0|CmbSrcTWall|007E|0853|00 |50 |810BFA4C|+12107.78|  +776.67| +1616.76
116|812FC820|CmbSrcTWall|007E|0853|00 |50 |810BFA1C|+12210.99|  +776.67| +1616.83
117|812FB180|PortalSpell|0030|0414|00 |50 |810BF8AC|+11923.17|  +310.25| +2814.20
118|8118F620|WM_spiritpl|0030|0150|00 |50 |810BF888|+10896.96|   +65.70| +2238.80
119|812FA560|CmbSrcTWall|007E|0853|00 |50 |810BF834|+11782.99|   +61.75| +2157.34
120|812F9EE0|WM_WallTorc|0030|0178|00 |50 |810BF810|+11223.37|    -3.13| +1197.78
121|812F8CE0|SmallBasket|0030|03CF|00 |50 |810BF6E4|+11421.00|   -99.00| +1651.90
122|812F8920|SmallBasket|0030|03CF|00 |50 |810BF6C0|+11418.31|   -99.00| +1547.21
123|81306E20|CmbSrcTWall|007E|0853|00 |50 |810C0824|+11783.19|   +61.15| +2321.20
124|813074C0|CmbSrcTWall|007E|0853|00 |50 |810C0854|+12538.92|   +62.23| +2321.08
125|81307B60|CmbSrcTWall|007E|0853|00 |50 |810C0884|+12538.75|   +60.98| +2157.67
126|81308200|CmbSrcTWall|007E|0853|00 |50 |810C08B4|+12346.65|  +296.59| +1902.76
127|813088A0|CmbSrcTWall|007E|0853|00 |50 |810C08E4|+12190.56|  +297.05| +1855.87
128|81308F40|CmbSrcTWall|007E|0853|00 |50 |810C0914|+11819.94|  +531.54| +2420.24
129|813095E0|CmbSrcTWall|007E|0853|00 |50 |810C0944|+11911.59|  +531.33| +2534.25
130|81309C80|CmbSrcTWall|007E|0853|00 |50 |810C0974|+12212.70|  +767.28| +2625.50
131|8130A320|CmbSrcTWall|007E|0853|00 |50 |810C09A4|+12369.48|  +767.28| +2567.71
132|8130A9C0|CmbSrcTWall|007E|0853|00 |50 |810C09D4|+12345.96|  +543.05| +2828.16
133|8130B060|CmbSrcTWall|007E|0853|00 |50 |810C0A04|+12449.04|  +542.12| +2791.33
134|8130B700|CmbSrcTWall|007E|0853|00 |50 |810C0A34|+11861.90|  +306.57| +2788.03
135|8130BDA0|CmbSrcTWall|007E|0853|00 |50 |810C0A64|+11989.91|  +307.16| +2821.57
136|8130C800|WM_krazoast|0030|078B|00 |50 |810C1C24|+11151.27| +1533.52| +2234.59
137|8130CBC0|WM_krazoast|0030|078C|00 |50 |810C1C48|+11140.49|  +867.70| +2236.38
138|812F8560|SmallBasket|0030|03CF|00 |50 |810BF69C|+11075.31|   -75.00|  +703.67
139|812F7E00|CmbSrc     |007E|06E8|00 |50 |810BF66C|+10989.99|   -46.75|  +798.19
140|812F7760|CmbSrc     |007E|06E8|00 |50 |810BF63C|+11164.52|   -46.71|  +798.90
141|811ABBE0|MagicPlant |0065|02C0|00 |50 |810C1D14|+11592.33| +1263.00| +2106.79
142|81174040|HagabonMK2 |001C|07C8|00 |50 |810BF604|+11119.91|    -5.68| +1747.80
143|811ADDC0|WM_newcryst|0061|0784|00 |50 |810C1D64|+12160.30| +1591.30| +2238.80
144|8130D9C0|WM_newcryst|0061|0783|00 |50 |810C1D84|+12160.00| +1420.20| +2239.90
145|812F5E80|WM_WallTorc|0030|0178|00 |50 |810BF590|+10930.48|    -2.81| +1197.70
146|8116C480|WM_colrise |0030|015D|00 |50 |810BF56C|+11166.63|   -99.00| +1817.67
147|8130DF60|LargeCrate |0030|049F|00 |50 |810C1DEC|+12670.91| +1263.00| +1719.39
148|8130E320|LargeCrate |0030|049F|00 |50 |810C1E10|+12319.27| +1263.00| +2934.18
149|8130E6E0|LargeCrate |0030|049F|00 |50 |810C1E34|+12368.06| +1263.00| +2454.82
150|811B14E0|MagicPlant |0065|02C0|00 |50 |810C1E58|+11597.31| +1263.00| +2796.94
151|8130EAA0|LargeCrate |0030|049F|00 |50 |810C1E9C|+13365.79| +1263.00| +2079.31
152|8130EE60|LargeCrate |0030|049F|00 |50 |810C1EC0|+12054.97| +1263.00| +2505.51
153|8130F220|LargeCrate |0030|049F|00 |50 |810C1EE4|+11273.15| +1263.00| +2083.41
154|8130F5E0|LargeCrate |0030|049F|00 |50 |810C1F08|+12293.26| +1263.00| +1389.09
155|8130F9A0|LargeCrate |0030|049F|00 |50 |810C1F2C|+12049.12| +1263.00| +1971.09
156|811B6CC0|WMFinalDoor|0053|0161|00 |50 |810C1F50|+13201.84| +1261.75| +2239.96
157|80FF0EC0|WM_deaddino|0030|013D|00 |50 |810BF524|+11160.07|   -99.00| +1565.45
158|811B7140|WM_newcryst|0061|0785|00 |50 |810C1FBC|+12159.54| +1370.10| +2238.51
159|811B7560|CFTreasWind|0030|00BA|00 |50 |810C1FDC|+12160.13|  +717.28| +2936.00
160|813100C0|WndLiftS   |0030|0835|00 |50 |810C2140|+12159.92|  +719.00| +1544.70
161|813103C0|WndLiftS   |0030|0835|00 |50 |810C2164|+12160.37|  +719.00| +2936.43
162|813106C0|WndLiftS   |0030|0835|00 |50 |810C2188|+12156.93| +1194.00| +1545.00
163|813109C0|WndLiftS   |0030|0835|00 |50 |810C21AC|+12160.37| +1194.00| +2936.43
164|811BC3A0|BarrelGener|0030|05E0|00 |50 |810BC908|+11077.60|   -99.00| +1077.37
165|811BDFC0|GunPowderBa|0030|006D|00 |50 |810BC92C|+11079.53|   -95.57|  +792.70
166|81167660|WM_PlanDoor|0038|037A|00 |50 |810BF500|+10870.76|   +46.63| +1585.24
167|81166CA0|WM_Pressure|0033|0144|00 |50 |810BF4E0|+11076.66|  -104.57|  +798.47
168|812F5120|WM_WallTorc|0030|0178|00 |50 |810BF4BC|+11223.96|    -2.52|  +725.83
169|812F4B40|WM_WallTorc|0030|0178|00 |50 |810BF498|+10931.07|    -3.06|  +724.70
170|811637A0|WM_Door1   |0053|013E|00 |50 |810BF474|+11202.46|  +128.00| +1261.45
171|811BE400|BarrelGener|0030|05E0|00 |50 |810BD170|+12373.68|  +211.00|  +176.53
172|811BE900|GunPowderBa|0030|006D|00 |50 |810BD194|+12299.67|    +6.00| +1172.53
173|811CB420|BarrelGener|0030|05E0|00 |50 |810BD1B8|+12299.67|    +6.00| +1172.53
174|81162CA0|WM_drape   |007F|074E|00 |50 |810BF40C|+10916.85|  +189.16| +1155.20
175|81311D00|CNThitObjec|0030|06CF|40 |50 |810BD288|+11325.32|   -61.18| +1123.38
176|811CBD80|GunPowderBa|0030|006D|00 |50 |810BD2AC|+12373.68|  +211.00|  +176.53
177|811626E0|WM_drape   |007F|074E|00 |50 |810BF3EC|+10917.93|  +189.28| +1028.80
178|81162120|WM_drape   |007F|074E|00 |50 |810BF3CC|+10916.21|  +187.88|  +899.52
179|81161B60|WM_drape   |007F|074E|00 |50 |810BF3AC|+10982.10|  +189.12|  +713.40
180|8113C560|WM_drape   |007F|074E|00 |50 |810BF38C|+11178.90|  +189.25|  +715.58
181|81312AA0|WM_WallTorc|0030|0178|00 |50 |810BE67C|+10925.37|   -26.24| +1362.60
182|81313080|WM_WallTorc|0030|0178|00 |50 |810BE6A0|+11400.14|   -26.57| +1482.58
183|81313660|WM_WallTorc|0030|0178|00 |50 |810BE6C4|+10924.79|   -26.04| +1836.21
184|81313C40|WM_WallTorc|0030|0178|00 |50 |810BE6E8|+11398.43|   -26.76| +1716.90
185|81314220|WM_WallTorc|0030|0178|00 |50 |810BE70C|+11407.72|   -25.92| +1838.63
186|81314800|WM_WallTorc|0030|0178|00 |50 |810BE730|+11406.50|   -25.72| +1361.54
187|811CEA80|ExplodeWall|0063|0436|00 |50 |810BEBE4|+11323.74|   -62.99| +1119.98
188|809F3F80|Krystal    |0001|001F|00 |3C |00000000|+10688.02|   -83.94| +1495.12
189|8113BFA0|WM_drape   |007F|074E|00 |50 |810BF36C|+11421.01|  +188.66| +1785.68
190|811C4360|WM_Door2   |0010|013F|20 |64 |81316400|+11202.46|  -122.00| +1261.45
191|811C4E60|WM_Door3   |0010|0140|20 |64 |81316540|+10952.46|  +128.00| +1261.45
192|811C5940|WM_Door4   |0010|0141|20 |64 |813166A0|+10952.46|  -122.00| +1261.45
193|8113B9E0|WM_drape   |007F|074E|00 |50 |810BF34C|+11421.83|  +189.81| +1412.80
194|811C6440|WM_PlanDoor|0010|037B|20 |64 |81316B40|+10870.76|  -133.37| +1585.24
195|811C6F40|WM_PlanDoor|0010|037C|20 |64 |81316C80|+10866.34|   +46.63| +1405.29
196|811F49E0|WM_PlanDoor|0010|037D|20 |64 |81316DC0|+10866.34|  -133.37| +1405.29
197|8113B420|WM_drape   |007F|074E|00 |50 |810BF32C|+10913.96|  +189.32|  +773.34
198|811F7400|MagicDustMi|0006|02CD|20 |50 |81316000|+11597.31| +1263.00| +2796.94
199|811F7940|MagicDustMi|0006|02CD|20 |50 |8131B800|+11592.33| +1263.00| +2106.79
200|811F7E80|MagicDustMi|0006|02CD|20 |50 |8131B860|+12682.55|  +249.00| +2547.99
201|811F83C0|MagicDustMi|0006|02CD|20 |50 |8131B8C0|+11736.63|   +54.07| +2175.27
202|811F8900|MagicDustSm|0006|02C4|20 |50 |8131B920|+12250.69|  +719.50| +2654.95
203|8131C3E0|fox_shield |0030|0773|60 |50 |8131C300|+10688.02|   -83.94| +1495.12
